Problema,OG,M3GP,OTDD,MD_train_m3gp,MD_train_og,% ERROR train,MD_test_m3gp,MD_test_og,% ERROR test,num rasgos m3gp,num rasgos OG,dif rasgos,nodos,Variance,PCA
Wav,Wav_9,Wav_9,15.7287,91,91.1429,-1.6129,82.9333,79.0667,18.4713,34,40,-6,81,0.9267,34
Wav,Wav_10,Wav_10,14.3445,90.5714,90.5143,0.6024,84.8,78.6,28.972,32,40,-8,51,0.9005,32
Wav,Wav_11,Wav_11,15.047,90.7714,90.5143,2.7108,85.9333,77.8667,36.4458,33,40,-7,76,0.9145,33
Wav,Wav_12,Wav_12,15.0839,90.6286,90.6857,-0.6135,83.7333,76.7333,30.086,33,40,-7,50,0.9138,33
Wav,Wav_13,Wav_13,15.0168,90.7143,90.5429,1.8127,83.8,78.1333,25.9146,33,40,-7,104,0.9139,33
Wav,Wav_14,Wav_14,15.7411,91.0857,90.6286,4.878,83.5333,77.3333,27.3529,34,40,-6,89,0.9269,34
Wav,Wav_15,Wav_15,16.3628,90.2286,90.3429,-1.1834,85.4,76.4,38.1356,35,40,-5,74,0.9394,35
Wav,Wav_16,Wav_16,12.3439,90.5714,90.7143,-1.5385,83.7333,78,26.0606,29,40,-11,40,0.8622,29
Wav,Wav_17,Wav_17,13.684,90.5714,90.3714,2.0772,85.0667,78.6667,30,31,40,-9,76,0.8879,31
Wav,Wav_18,Wav_18,12.458,90.5143,90.5429,-0.3021,83.9333,76.5333,31.5341,29,40,-11,44,0.8606,29
Wav,Wav_19,Wav_19,13.0969,90.6857,90.9714,-3.1646,83.1333,78.5333,21.4286,30,40,-10,105,0.8746,30
Wav,Wav_20,Wav_20,13.1877,90.7714,90.8571,-0.9375,82.2667,76.8,23.5632,30,40,-10,109,0.8742,30
Wav,Wav_21,Wav_21,14.4963,90.9714,90.4857,5.1051,84.3333,76.4,33.6158,32,40,-8,133,0.9012,32
Wav,Wav_22,Wav_22,13.6933,90.3429,90.4286,-0.8955,83.4,79.1333,20.4473,31,40,-9,54,0.8885,31
Wav,Wav_23,Wav_23,13.6224,90.2,90.1429,0.5797,84.4,78.0667,28.8754,31,40,-9,36,0.888,31
Wav,Wav_24,Wav_24,15.1504,90.6857,90.0571,6.3218,84.1333,77.8,28.5285,33,40,-7,80,0.9143,33
Wav,Wav_25,Wav_25,15.6477,90.4,90.1714,2.3256,84,77.6,28.5714,34,40,-6,179,0.9271,34
Wav,Wav_26,Wav_26,13.9955,90.7714,90.7714,0,85.2667,77.2667,35.1906,31,40,-9,108,0.8875,31
Wav,Wav_27,Wav_27,17.0385,91.1143,90.7429,4.0123,82.5333,74.2,32.2997,36,40,-4,103,0.9512,36
Wav,Wav_28,Wav_28,15.0259,90.6,90.3143,2.9499,84.6667,76.7333,34.0974,33,40,-7,58,0.914,33
Wav,Wav_29,Wav_29,13.6677,90.7714,90.9714,-2.2152,84.3333,78.6,26.7913,31,40,-9,44,0.8886,31
Wav,Wav_30,Wav_30,15.0851,90.5429,90.3429,2.071,84.4667,79.6667,23.6066,33,40,-7,66,0.9136,33
Yeast,Yeast_1,Yeast_1,3.6706,69.1249,43.0679,45.7686,57.7982,53.8991,8.4577,13,8,5,252,1,8
Yeast,Yeast_2,Yeast_2,4.5084,68.0433,44.7394,42.1708,57.1101,51.8349,10.9524,13,8,5,308,1,8
Yeast,Yeast_3,Yeast_3,4.1224,67.65,44.6411,41.5631,57.7982,52.9817,10.2439,13,8,5,284,1,8
Yeast,Yeast_4,Yeast_4,4.0179,67.9449,44.5428,42.1986,59.1743,50,18.3486,13,8,5,220,1,8
Yeast,Yeast_5,Yeast_5,4.0066,68.3383,44.7394,42.7046,57.1101,50.9174,12.6168,13,8,5,234,1,8
Yeast,Yeast_6,Yeast_6,4.0684,67.8466,44.5428,42.0213,57.1101,52.2936,10.0962,13,8,5,210,1,8
Yeast,Yeast_7,Yeast_7,3.4641,68.8299,45.6244,42.6763,55.7339,51.1468,9.3897,16,8,8,313,1,8
Yeast,Yeast_8,Yeast_8,4.3566,68.0433,52.2124,33.1276,55.9633,50.6881,10.6977,13,8,5,318,1,8
Yeast,Yeast_9,Yeast_9,4.0705,70.2065,43.7562,47.028,59.8624,49.7706,20.0913,16,8,8,387,1,8
Yeast,Yeast_10,Yeast_10,3.7415,68.7316,50.1475,37.2781,55.2752,51.3762,8.0189,13,8,5,228,1,8
Yeast,Yeast_11,Yeast_11,3.9503,68.4366,44.1495,43.4859,54.8165,50.6881,8.3721,12,8,4,137,1,8
Yeast,Yeast_12,Yeast_12,4.2377,69.6165,43.3628,46.3542,54.8165,47.0184,14.7186,13,8,5,300,1,8
Yeast,Yeast_13,Yeast_13,4.3061,68.4366,53.294,32.4211,60.3211,47.4771,24.4542,12,8,4,307,1,8
Yeast,Yeast_14,Yeast_14,4.8161,68.4366,44.8378,42.7808,53.8991,50,7.7982,13,8,5,162,1,8
Yeast,Yeast_15,Yeast_15,3.6963,68.2399,43.2645,44.0208,56.1927,50.4587,11.5741,13,8,5,262,1,8
Yeast,Yeast_16,Yeast_16,3.668,67.65,44.6411,41.5631,55.9633,51.6055,9.0047,13,8,5,256,1,8
Yeast,Yeast_17,Yeast_17,4.0449,70.2065,51.9174,38.0368,54.1284,47.7064,12.2807,13,8,5,228,1,8
Yeast,Yeast_18,Yeast_18,4.0319,70.3048,43.6578,47.2949,54.3578,47.7064,12.7193,13,8,5,336,1,8
Yeast,Yeast_19,Yeast_19,3.9041,67.5516,44.1495,41.9014,53.6697,48.6239,9.8214,12,8,4,193,1,8
Yeast,Yeast_20,Yeast_20,4.3202,66.8633,45.6244,39.0597,56.8807,51.1468,11.7371,11,8,3,316,1,8
Yeast,Yeast_21,Yeast_21,4.2813,69.0266,44.3461,44.3463,60.5505,50,21.1009,16,8,8,301,1,8
Yeast,Yeast_22,Yeast_22,4.2356,69.2232,51.6224,36.3821,55.2752,46.5596,16.309,17,8,9,184,1,8
Yeast,Yeast_23,Yeast_23,3.896,67.5516,50.6391,34.263,58.0275,51.3762,13.6793,12,8,4,173,1,8
Yeast,Yeast_24,Yeast_24,3.9832,68.5349,51.2291,35.4839,56.8807,50.2294,13.3641,13,8,5,258,1,8
Yeast,Yeast_25,Yeast_25,4.5388,69.0266,45.0344,43.6494,58.4862,49.5413,17.7273,15,8,7,326,1,8
Yeast,Yeast_26,Yeast_26,3.8378,69.7149,43.7562,46.1539,55.7339,49.7706,11.8722,18,8,10,241,1,8
Yeast,Yeast_27,Yeast_27,3.6975,69.2232,44.6411,44.405,55.2752,50,10.5505,13,8,5,404,1,8
Yeast,Yeast_28,Yeast_28,4.1757,68.1416,43.4612,43.6522,56.1927,51.1468,10.3286,13,8,5,284,1,8
Yeast,Yeast_29,Yeast_29,3.4005,69.8132,43.1662,46.8858,52.9817,49.7706,6.3927,12,8,4,165,1,8
Yeast,Yeast_30,Yeast_30,4.0153,69.6165,50.8358,38.2,61.2385,51.3762,20.283,13,8,5,250,1,8
